"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","concertation-strategie-energie-climat.gouv.fr/79.137.76.37","443","INFO","HTTP","",""
"pre_128cipher","concertation-strategie-energie-climat.gouv.fr/79.137.76.37","443","INFO","No 128 cipher limit bug","",""
"SSLv2","concertation-strategie-energie-climat.gouv.fr/79.137.76.37","443","OK","not offered","",""
"SSLv3","concertation-strategie-energie-climat.gouv.fr/79.137.76.37","443","OK","not offered","",""
"TLS1","concertation-strategie-energie-climat.gouv.fr/79.137.76.37","443","INFO","not offered","",""
"TLS1_1","concertation-strategie-energie-climat.gouv.fr/79.137.76.37","443","INFO","not offered","",""
"TLS1_2","concertation-strategie-energie-climat.gouv.fr/79.137.76.37","443","OK","offered","",""
"TLS1_3","concertation-strategie-energie-climat.gouv.fr/79.137.76.37","443","OK","offered with final","",""
"ALPN_HTTP2","concertation-strategie-energie-climat.gouv.fr/79.137.76.37","443","OK","h2","",""
"ALPN","concertation-strategie-energie-climat.gouv.fr/79.137.76.37","443","INFO","http/1.1","",""
"cipherlist_NULL","concertation-strategie-energie-climat.gouv.fr/79.137.76.37","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","concertation-strategie-energie-climat.gouv.fr/79.137.76.37","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","concertation-strategie-energie-climat.gouv.fr/79.137.76.37","443","OK","not offered","","CWE-327"
"cipherlist_LOW","concertation-strategie-energie-climat.gouv.fr/79.137.76.37","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","concertation-strategie-energie-climat.gouv.fr/79.137.76.37","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","concertation-strategie-energie-climat.gouv.fr/79.137.76.37","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","concertation-strategie-energie-climat.gouv.fr/79.137.76.37","443","INFO","not offered","",""
"cipherlist_STRONG_FS","concertation-strategie-energie-climat.gouv.fr/79.137.76.37","443","OK","offered","",""
"cipher_order-tls1_2","concertation-strategie-energie-climat.gouv.fr/79.137.76.37","443","INFO","NOT a cipher order configured","",""
"cipher-tls1_2_xc030","concertation-strategie-energie-climat.gouv.fr/79.137.76.37","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 521   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_x9f","concertation-strategie-energie-climat.gouv.fr/79.137.76.37","443","OK","TLSv1.2   x9f     DHE-RSA-AES256-GCM-SHA384         DH 2048    AESGCM      256      TLS_DHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc02f","concertation-strategie-energie-climat.gouv.fr/79.137.76.37","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 521   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_x9e","concertation-strategie-energie-climat.gouv.fr/79.137.76.37","443","OK","TLSv1.2   x9e     DHE-RSA-AES128-GCM-SHA256         DH 2048    AESGCM      128      TLS_DHE_RSA_WITH_AES_128_GCM_SHA256","",""
"supportedciphers_TLSv1_2","concertation-strategie-energie-climat.gouv.fr/79.137.76.37","443","INFO","ECDHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","concertation-strategie-energie-climat.gouv.fr/79.137.76.37","443","INFO","NOT a cipher order configured","",""
"FS","concertation-strategie-energie-climat.gouv.fr/79.137.76.37","443","OK","offered","",""
"FS_ciphers","concertation-strategie-energie-climat.gouv.fr/79.137.76.37","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","concertation-strategie-energie-climat.gouv.fr/79.137.76.37","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","concertation-strategie-energie-climat.gouv.fr/79.137.76.37","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'status request/#5' 'next protocol/#13172' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'extended master secret/#23'","",""
